,e,1.30,1.80,2.20
174,0.8265,2.81548973852e-06,5.3974523042e-06,8.06246516589e-06
175,0.8312,2.82380928939e-06,5.41339929304e-06,8.08628324204e-06
176,0.836,2.78594306217e-06,5.34080616146e-06,7.97784501532e-06
177,0.8407,2.76167480826e-06,5.29428086592e-06,7.90834538761e-06
178,0.8455,2.76597326447e-06,5.30251917395e-06,7.92064857777e-06
179,0.8502,2.7733450376e-06,5.31664844303e-06,7.9417503807e-06
180,0.855,2.78088221271e-06,5.33109508995e-06,7.96332665729e-06
181,0.8598,2.73637172872e-06,5.24576402227e-06,7.83586038037e-06
182,0.8645,2.71205336571e-06,5.19914227836e-06,7.76621615809e-06
183,0.8692,2.70647267977e-06,5.18843977742e-06,7.7502238114e-06
184,0.874,2.73751199149e-06,5.24793947042e-06,7.83909571603e-06
185,0.8788,2.76727829365e-06,5.30499890125e-06,7.92432268499e-06
186,0.8835,2.7094082168e-06,5.19405671437e-06,7.75859966275e-06
187,0.8882,2.66708017244e-06,5.112907366e-06,7.63737694049e-06
188,0.893,2.65485762123e-06,5.08947201074e-06,7.60236481098e-06
189,0.8977,2.70677431299e-06,5.18899182452e-06,7.75101286541e-06
190,0.9025,2.82428544093e-06,5.4142543743e-06,8.08748216397e-06
191,0.9073,2.85899185601e-06,5.48077903393e-06,8.18684071709e-06
192,0.912,2.75995654286e-06,5.29092209393e-06,7.90324027494e-06
193,0.9167,2.67365220086e-06,5.12546837484e-06,7.65608848013e-06
194,0.9215,2.62969222331e-06,5.04118647865e-06,7.53018101914e-06
195,0.9263,2.62731908063e-06,5.03662634113e-06,7.52335479035e-06
196,0.931,2.76683918383e-06,5.30406879526e-06,7.92281346331e-06
197,0.9357,3.25324605347e-06,6.23646913044e-06,9.31549638649e-06
198,0.9405,3.99508828025e-06,7.65850002217e-06,1.14394941966e-05
199,0.9452,3.83699162618e-06,7.35543205169e-06,1.09868018457e-05
