,a,0.00,0.05,0.10,0.30,0.60
98,1.7701,-9.35970644538e-05,-9.35970644538e-05,-9.35970644538e-05,-9.35970644538e-05,-9.35970644538e-05
99,1.7754,-9.42989014632e-05,-9.42989014632e-05,-9.42989014632e-05,-9.42989014632e-05,-9.42989014632e-05
100,1.7808,-9.50172158407e-05,-9.50172158407e-05,-9.50172158407e-05,-9.50172158407e-05,-9.50172158407e-05
101,1.7862,-9.57388005058e-05,-9.57388005058e-05,-9.57388005058e-05,-9.57388005058e-05,-9.57388005058e-05
102,1.7916,-9.64636603711e-05,-9.64636603711e-05,-9.64636603711e-05,-9.64636603711e-05,-9.64636603711e-05
103,1.797,-9.71918003461e-05,-9.71918003461e-05,-9.71918003461e-05,-9.71918003461e-05,-9.71918003461e-05
104,1.8024,-9.79232253269e-05,-9.79232253269e-05,-9.79232253269e-05,-9.79232253269e-05,-9.79232253269e-05
105,1.8077,-9.86443044464e-05,-9.86443044464e-05,-9.86443044464e-05,-9.86443044464e-05,-9.86443044464e-05
106,1.8131,-9.93822530502e-05,-9.93822530502e-05,-9.93822530502e-05,-9.93822530502e-05,-9.93822530502e-05
107,1.8185,-0.00010012350122,-0.00010012350122,-0.00010012350122,-0.00010012350122,-0.00010012350122
108,1.8239,-0.000100868053829,-0.000100868053829,-0.000100868053829,-0.000100868053829,-0.000100868053829
109,1.8293,-0.000101615915736,-0.000101615915736,-0.000101615915736,-0.000101615915736,-0.000101615915736
110,1.8346,-0.000102353150981,-0.000102353150981,-0.000102353150981,-0.000102353150981,-0.000102353150981
111,1.84,-0.000103107584534,-0.000103107584534,-0.000103107584534,-0.000103107584534,-0.000103107584534
112,1.8454,-0.000103865341837,-0.000103865341837,-0.000103865341837,-0.000103865341837,-0.000103865341837
113,1.8508,-0.000104626427721,-0.000104626427721,-0.000104626427721,-0.000104626427721,-0.000104626427721
114,1.8562,-0.00010539084701,-0.00010539084701,-0.00010539084701,-0.00010539084701,-0.00010539084701
115,1.8616,0.000241528921005,-0.000106158604524,-0.000106158604524,-0.000106158604524,-0.000106158604524
116,1.8669,0.000243251865668,-9.4909946005e-05,-0.000106915395023,-0.000106915395023,-0.000106915395023
117,1.8723,0.000245014882951,-8.7545055022e-05,-0.000107689781368,-0.000107689781368,-0.000107689781368
118,1.8777,0.000246785546142,-8.27780138322e-05,-0.000103630711068,-0.000108467520257,-0.000108467520257
119,1.8831,0.000248563866276,-7.79442457657e-05,-8.9769938556e-05,-0.000109248616481,-0.000109248616481
120,1.8885,0.000250349854379,-7.44088363722e-05,-8.30689386599e-05,-0.000110033074819,-0.000110033074819
121,1.8938,0.000252110235545,-7.21860141173e-05,-7.62667644667e-05,-0.000110806280063,-0.000110806280063
122,1.8992,0.000253911450072,-6.99392496855e-05,-7.18601116967e-05,-0.000111597414467,-0.000111597414467
123,1.9046,0.000255720365333,-6.62709330499e-05,-6.7392809515e-05,-0.0001123919252,-0.0001123919252
124,1.91,0.000257536992285,-6.39488077758e-05,-6.536720744e-05,-0.000113189817016,-0.000113189817016
125,1.9154,0.00025936134187,-6.15931581471e-05,-6.07934872823e-05,-0.000113991094663,-0.000113991094663
126,1.9207,0.000261159427208,-6.06075012706e-05,-5.86826737852e-05,-0.000114780830774,-0.000114780830774
127,1.9261,0.000262999111317,-5.8192979669e-05,-5.65486261683e-05,-0.000115588831374,-0.000115588831374
128,1.9315,0.0002648465506,-5.57450494021e-05,-5.43833754509e-05,-0.000116400231915,-0.000116400231915
129,1.9369,0.000266701755936,-5.46988182888e-05,-4.96129662897e-05,-0.000117215037118,-0.000117215037118
130,1.9423,0.000268564738195,-5.21916996146e-05,-4.73704757931e-05,-0.000118033251691,-0.000118033251691
131,1.9477,0.000270435508231,-5.11023943477e-05,-4.5096775068e-05,-0.000118854880342,-0.000118854880342
132,1.953,0.000272279217633,-4.85298757564e-05,-4.27863684493e-05,-0.000119664618019,-0.000119664618019
133,1.9584,0.000274165450999,-4.73974569228e-05,-4.04504882454e-05,-0.000120493025477,-0.000120493025477
134,1.9638,0.000276059504412,-4.62476396099e-05,-3.8083334658e-05,-0.000121324861002,-0.000121324861002
135,1.9692,0.000277961388659,-4.3596443061e-05,-3.56848928178e-05,-0.000122160129275,-0.000122160129275
136,1.9746,0.000279871114523,-4.24030517159e-05,-3.59296673842e-05,-0.000122998834966,-0.000122998834966
137,1.9799,0.000281753110634,-4.11868906893e-05,-3.34783880156e-05,-0.000123825356103,-0.000123825356103
138,1.9853,0.000283678406298,-3.99584561319e-05,-3.10002261081e-05,-0.000124670886747,-0.000124670886747
139,1.9907,0.000285611575626,-3.71960672534e-05,-2.84906363439e-05,-0.000125519868703,-0.000125519868703
140,1.9961,0.000287552629343,-3.59236830216e-05,-2.59496189361e-05,-0.000126372306612,-0.000126372306612
141,2.0015,0.000289501578153,-3.46335003365e-05,-2.61251062228e-05,-0.000127228205115,-0.000127228205115
142,2.0068,0.000291422122789,-3.33213184827e-05,-2.35318790036e-05,-0.000128071623183,-0.000128071623183
143,2.0122,0.00029338674715,-3.19955457773e-05,-2.091037828e-05,-0.000128934392465,-0.000128934392465
144,2.0176,0.000295359298438,-3.06518084998e-05,-1.82573599208e-05,-0.000129800636135,-0.000129800636135
145,2.023,0.000297339787306,-2.92900524372e-05,-1.8379394187e-05,-0.000130670358805,-0.000130670358805
146,2.0284,0.000299328224387,-2.79102242087e-05,-1.56765964259e-05,-0.000131543565083,-0.000131543565083
147,2.0338,0.000301324620303,-2.65122712229e-05,-1.29422037336e-05,-0.000132420259569,-0.000132420259569
148,2.0391,0.000303291795297,-2.50930723289e-05,-1.3026317093e-05,-0.000133284115323,-0.000133284115323
149,2.0445,0.000305303992816,-2.36588988622e-05,-1.02421224537e-05,-0.000109080796736,-0.000134167735193
150,2.0499,0.000307324180755,-2.22064490503e-05,-7.42627662964e-06,-0.000101393824547,-0.00013505485695
151,2.0553,0.000309352369678,-2.07356735955e-05,-7.4749023935e-06,-9.36079329756e-05,-0.00013594548517
152,2.0607,0.00031138857014,-1.92465240256e-05,-4.6085692551e-06,-8.57253065192e-05,-0.00013683962442
153,2.066,0.000313394863737,-1.77368136831e-05,-4.63788521277e-06,-7.77387986939e-05,-0.000137720624052
154,2.0714,0.000315446970025,-1.78525410828e-05,-1.72116346375e-06,-7.82472912793e-05,-0.000138621733819
155,2.0768,0.00031750711923,-1.63164225384e-05,-1.73201937592e-06,-7.01250092852e-05,-0.000139526368204
