,e,0.80,0.85,0.90,0.95
137,0.6507,1.66303229728e-08,2.43995726826e-06,6.39072012776e-06,2.82645360302e-06
138,0.6555,5.5947191641e-09,2.28244442849e-06,6.36981013074e-06,2.81144184815e-06
139,0.6603,1.78765262079e-08,2.85432077489e-06,6.34453239609e-06,2.79724070674e-06
140,0.665,8.64893934845e-09,2.71990326341e-06,6.3192034993e-06,2.78565514028e-06
141,0.6697,2.45614236402e-08,2.57374825641e-06,6.30518277251e-06,2.77681606725e-06
142,0.6745,1.34985387188e-08,3.24080787935e-06,6.27337886579e-06,2.7681279605e-06
143,0.6793,4.3626744013e-08,3.099224961e-06,6.27376959834e-06,2.75785370973e-06
144,0.684,2.13608818565e-08,2.9303801067e-06,6.23313166975e-06,2.74590831588e-06
145,0.6887,6.3349018235e-08,3.72778975702e-06,6.18608343475e-06,2.74015014941e-06
146,0.6935,3.47092610863e-08,3.58257160972e-06,6.17152865903e-06,2.72572066351e-06
147,0.6983,9.83872520058e-08,3.4151133103e-06,6.14099380543e-06,2.72541678101e-06
148,0.703,5.59696355386e-08,4.34887030691e-06,6.11947066763e-06,2.70969866732e-06
149,0.7077,3.40062697307e-08,4.20064399925e-06,6.08692224423e-06,2.69382957681e-06
150,0.7125,1.02005658217e-07,4.02912671775e-06,6.07214326577e-06,2.69421367888e-06
151,0.7172,6.11002650109e-08,5.10712287722e-06,6.07074971288e-06,2.68580034944e-06
152,0.722,1.59334170854e-07,4.99665810676e-06,6.0097675319e-06,2.66789553217e-06
153,0.7268,1.05067653365e-07,6.2899563192e-06,5.97543719803e-06,2.67405821531e-06
154,0.7315,6.87057395239e-08,6.18091299669e-06,5.97703224477e-06,2.65838541408e-06
155,0.7362,1.92670903305e-07,9.16827734571e-06,5.92234209821e-06,2.63687916395e-06
156,0.741,1.29847750795e-07,9.14032326156e-06,5.88887000015e-06,2.62257335073e-06
157,0.7458,3.2498307929e-07,9.11626098843e-06,5.89923794795e-06,2.62428210497e-06
158,0.7505,2.48509594162e-07,9.07127654027e-06,5.8505521919e-06,2.60726508802e-06
