,Unnamed: 0,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad],new flag,fraction
101,101,0.635236952978,2.04329462301,31.9915522514,1.61822700749,0.971536485918,3.13775073341,2.07533939791,0.488400606508,0.99174995452,3.14619221771,1.0,616.36974033,1.19784325851,0,0.0859559815111
102,102,0.64152642776,2.04390740599,31.982597388,1.61864445382,0.971827849195,3.13564583242,2.08042092985,0.488544319747,0.991805129324,3.14621631943,1.0,616.370173882,1.18977386195,0,0.0856818601896
103,103,0.647815902542,2.04452574311,31.9735642608,1.61906036581,0.972121853331,3.13352170007,2.08550507572,0.48868933393,0.991860597504,3.1462398499,1.0,616.3706111,1.1817928518,0,0.0854052542896
104,104,0.654105377324,2.04514961964,31.9644531607,1.6194747288,0.972418491321,3.13137838133,2.09059186462,0.488835645557,0.991916352372,3.14626280646,1.0,616.371051967,1.17389484546,0,0.0851261703996
105,105,0.660394852106,2.04577902068,31.9552643818,1.61988752819,0.972717756078,3.12921592165,2.09568132577,0.488983251088,0.991972387204,3.14628518652,1.0,616.371496465,1.16607493366,0,0.0848446151827
106,106,0.666684326888,2.04641393116,31.9459982206,1.62029874935,0.97301964044,3.12703436695,2.10077348849,0.489132146945,0.992028695245,3.14630698756,1.0,616.371944577,1.15832862549,0,0.0845605953832
107,107,0.67297380167,2.04705433583,31.9366549764,1.6207083777,0.973324137158,3.12483376363,2.10586838222,0.489282329508,0.992085269707,3.14632820716,1.0,616.372396284,1.15065180137,0,0.0842741178248
108,108,0.679263276452,2.0477002193,31.9272349514,1.62111639865,0.973631238908,3.12261415856,2.1109660365,0.489433795119,0.99214210377,3.14634884296,1.0,616.372851569,1.1430406725,0,0.0839851893866
109,109,0.685552751234,2.04835156599,31.9177384504,1.62152279764,0.973940938281,3.12037559908,2.11606648096,0.489586540078,0.992199190587,3.14636889269,1.0,616.373310414,1.13549174585,0,0.083693817037
110,110,0.691842226016,2.04900836013,31.9081657808,1.62192756012,0.974253227788,3.11811813301,2.12116974536,0.489740560645,0.992256523279,3.14638835415,1.0,616.373772801,1.12800179364,0,0.0834000078386
111,111,0.698131700798,2.04967058581,31.898517253,1.62233067156,0.974568099858,3.11584180867,2.12627585958,0.48989585304,0.992314094938,3.14640722523,1.0,616.374238711,1.12056782681,0,0.0831037689033
