,vfr,0.00,0.05,0.10,0.30,0.60
110,0.9106,2.02076384982e-07,1.17144968927e-07,1.29691126515e-07,1.30308200492e-07,1.1222725335e-07
111,0.9116,1.998058638e-07,1.15504073339e-07,1.27900384681e-07,1.28555464101e-07,1.11016845646e-07
112,0.9126,1.97535342619e-07,1.13862194589e-07,1.26110506229e-07,1.26902417482e-07,1.0973609487e-07
113,0.9136,1.95264821438e-07,1.1222471989e-07,1.2432164851e-07,1.25190046895e-07,1.08194081191e-07
114,0.9146,1.92994300269e-07,1.10598938501e-07,1.22533966691e-07,1.235059552e-07,1.06963252597e-07
115,0.9156,1.90723779089e-07,1.0897889514e-07,1.20747486542e-07,1.21779180175e-07,1.05497124627e-07
116,0.9166,1.88453257908e-07,1.07373048794e-07,1.18962315439e-07,1.20090726529e-07,1.04198831402e-07
117,0.9176,1.86182736728e-07,1.05774396722e-07,1.17178752256e-07,1.1833131195e-07,1.02729463157e-07
118,0.9186,1.83912215548e-07,1.04192741804e-07,1.15396742218e-07,1.16639127501e-07,1.01260094913e-07
119,0.9196,1.81641694368e-07,1.02619721171e-07,1.13616329569e-07,1.14907524258e-07,1.00000477063e-07
120,0.9206,1.79371173189e-07,1.01066608282e-07,1.1183780816e-07,1.13212025589e-07,9.85285826571e-08
121,0.9216,1.77100652009e-07,9.95355473731e-08,1.10061300825e-07,1.11465628526e-07,9.70566882517e-08
122,0.9226,1.74830130831e-07,9.80416584375e-08,1.08286788683e-07,1.09768407423e-07,9.55849040309e-08
123,0.9236,1.72559609652e-07,9.65756926432e-08,1.06514430687e-07,1.0803484804e-07,9.42508831247e-08
124,0.9246,1.70647591808e-07,9.51837990251e-08,1.0474467856e-07,1.06336229895e-07,9.27797978547e-08
125,0.9256,1.68372290588e-07,9.39390363071e-08,1.02977415415e-07,1.04593290539e-07,9.13051405786e-08
126,0.9266,1.66096989356e-07,9.24413863111e-08,1.01212789036e-07,1.02837512433e-07,9.00107736512e-08
127,0.9276,1.63821688144e-07,9.08145928879e-08,9.9451353521e-08,1.01138921749e-07,8.85336624217e-08
128,0.9286,1.6154638692e-07,8.91939559463e-08,9.74396976344e-08,9.94096309384e-08,8.705764033e-08
129,0.9296,1.59271085684e-07,8.75798071059e-08,9.60772855666e-08,9.76750444091e-08,8.5584128753e-08
130,0.9307,1.56995784467e-07,8.59724811724e-08,9.45592555734e-08,9.5980036087e-08,8.41106171769e-08
131,0.9317,1.54720483238e-07,8.43723154744e-08,9.29771366213e-08,9.42515605172e-08,8.26371055984e-08
132,0.9327,1.52445182013e-07,8.27796587439e-08,9.13604521223e-08,9.25253950367e-08,8.11635940221e-08
133,0.9337,1.50169880792e-07,8.11948651182e-08,8.97155076628e-08,9.08372358771e-08,7.96291977122e-08
134,0.9347,1.47894579575e-07,7.96183056253e-08,8.80352560486e-08,8.83604497503e-08,7.81597882689e-08
135,0.9357,1.45619278345e-07,7.80505916177e-08,8.63642414087e-08,8.68011467661e-08,7.68416105301e-08
136,0.9367,1.43343977119e-07,7.6491698318e-08,8.46673349758e-08,8.52385270226e-08,7.53755551742e-08
137,0.9377,1.41068675897e-07,7.49422296538e-08,8.29811247296e-08,8.3639264814e-08,7.39094998171e-08
138,0.9387,1.3879337468e-07,7.34028108128e-08,8.12776806798e-08,8.20168537755e-08,7.24923686452e-08
139,0.9397,1.36518073449e-07,7.18734208209e-08,7.95849741621e-08,8.0394888857e-08,7.11106921633e-08
140,0.9407,1.34242772222e-07,7.0354943698e-08,7.78880074749e-08,7.88044433374e-08,6.89625572686e-08
141,0.9417,1.31967471e-07,6.88474285544e-08,7.62013048717e-08,7.71574476725e-08,6.77044153023e-08
142,0.9427,1.29692169782e-07,6.73515872348e-08,7.45086626157e-08,7.55492812565e-08,6.62687595301e-08
143,0.9437,1.27416868549e-07,6.58677830886e-08,7.28264347509e-08,7.3947756238e-08,6.48331037603e-08
144,0.9447,1.25141567321e-07,6.43964553461e-08,7.11504500447e-08,7.22973487225e-08,6.35602376733e-08
145,0.9457,1.22866266098e-07,6.29382045276e-08,6.94782355682e-08,7.06817995674e-08,6.21266549536e-08
146,0.9467,1.20590964879e-07,6.14934892839e-08,6.78155037607e-08,6.90496125405e-08,6.07166419757e-08
147,0.9477,1.18315663645e-07,6.00626591997e-08,6.61586313573e-08,6.74883362195e-08,5.93066289888e-08
148,0.9487,1.16040362436e-07,5.86465575343e-08,6.45113046365e-08,6.58765642375e-08,5.78966159997e-08
149,0.9497,1.13765061212e-07,5.72454544524e-08,6.28736464457e-08,6.43158978704e-08,5.64866030107e-08
150,0.9508,1.11489759971e-07,5.58599127516e-08,6.12459791292e-08,6.27240622654e-08,5.52090186172e-08
151,0.9518,1.09214458757e-07,5.44907516927e-08,5.96292646645e-08,6.11868263926e-08,5.3921712122e-08
152,0.9528,1.06939157527e-07,5.31382877709e-08,5.8023811349e-08,5.96164984643e-08,5.25470612256e-08
153,0.9538,1.04663856301e-07,5.180308366e-08,5.64305935886e-08,5.8077458337e-08,5.11724103257e-08
154,0.9548,1.02388555081e-07,5.04861848679e-08,5.48564073499e-08,5.65989007162e-08,4.97977594217e-08
155,0.9558,1.00113253867e-07,4.91877977462e-08,5.32945914582e-08,5.50650625887e-08,4.84231085185e-08
156,0.9568,9.7837952634e-08,4.79085521439e-08,5.17556392597e-08,5.35514056115e-08,4.70836107267e-08
157,0.9578,9.55626514071e-08,4.66495885032e-08,5.02303843568e-08,5.20822001804e-08,4.57615480961e-08
158,0.9588,9.32873501862e-08,4.54111867432e-08,4.87121658605e-08,5.05893512345e-08,4.44394854606e-08
159,0.9598,9.10120489719e-08,4.41940212881e-08,4.72180408838e-08,4.91173722008e-08,4.31174228325e-08
160,0.9608,8.87367477372e-08,4.29992467214e-08,4.57400278023e-08,4.76629670992e-08,4.19006328079e-08
161,0.9618,8.64614465086e-08,4.18273275103e-08,4.42748378567e-08,4.62415740905e-08,4.06267011449e-08
162,0.9628,8.41861452865e-08,4.0678882971e-08,4.28282029059e-08,4.48184288643e-08,3.93706235843e-08
163,0.9638,8.19108440718e-08,3.95552389806e-08,4.1400682701e-08,4.3403189549e-08,3.81145460116e-08
164,0.9648,7.96355428342e-08,3.84570788442e-08,3.99966841013e-08,4.20084172655e-08,3.68584684448e-08
165,0.9658,7.73602416349e-08,3.73845901624e-08,3.86113597831e-08,4.06177185964e-08,3.56063651792e-08
166,0.9668,7.50849404123e-08,3.63402183932e-08,3.72514459244e-08,3.92504975015e-08,3.44364635453e-08
167,0.9678,7.28096391642e-08,3.53229977918e-08,3.59140776896e-08,3.7915965911e-08,3.32665619179e-08
168,0.9688,7.05343379575e-08,3.4335827409e-08,3.4603113538e-08,3.65692907811e-08,3.20966602846e-08
169,0.9698,6.82590367245e-08,3.33778777485e-08,3.33220836678e-08,3.52387565363e-08,3.09290301132e-08
170,0.9709,6.59837354999e-08,3.24520305814e-08,3.20710156937e-08,3.3941437875e-08,2.98188146429e-08
171,0.9719,6.37084342842e-08,3.15579714639e-08,3.08478622087e-08,3.26438644256e-08,2.87504040396e-08
172,0.9729,6.14331330389e-08,3.06975971393e-08,2.96547246172e-08,3.13651871494e-08,2.76819934321e-08
173,0.9739,5.91578318431e-08,2.98724579744e-08,2.8492707741e-08,3.00889228758e-08,2.66135828441e-08
174,0.9749,5.68825306168e-08,2.90829204341e-08,2.73657634262e-08,2.88408779762e-08,2.5622297527e-08
175,0.9759,5.46072294011e-08,2.83745616683e-08,2.62725336206e-08,2.75940362088e-08,2.46702824802e-08
176,0.9769,5.23319281504e-08,2.76562707858e-08,2.5217475506e-08,2.63602736491e-08,2.37182674501e-08
177,0.9779,5.0056626909e-08,2.69651475275e-08,2.42008276952e-08,2.51303874672e-08,2.2751310574e-08
178,0.9789,4.77813257291e-08,2.6309171044e-08,2.3223309382e-08,2.39117404284e-08,2.18654057178e-08
179,0.9799,4.55060244592e-08,2.56926276663e-08,2.2295470966e-08,2.27044511152e-08,2.10349881752e-08
180,0.9809,4.32307232543e-08,2.51180258364e-08,2.14142034561e-08,2.15120458819e-08,2.01903337437e-08
181,0.9819,4.09554220061e-08,2.45884559168e-08,2.05801681718e-08,2.03188567163e-08,1.93655526044e-08
