,a,0.00,0.05,0.10,0.30,0.60
178,2.2006,0.0,0.669780629214,0.621783858602,0.719738125159,1.0
179,2.206,0.0,0.666272747036,0.621783858602,0.701694327766,1.0
180,2.2113,0.0,0.662771475336,0.615505839638,0.701694327773,1.0
181,2.2167,0.0,0.662771475342,0.61550583964,0.701694327771,1.0
182,2.2221,0.0,0.65927687733,0.615505839641,0.701694327782,1.0
183,2.2275,0.0,0.659276877349,0.609246252702,0.683741969984,1.0
184,2.2329,0.0,0.65578901593,0.609246252699,0.683741969995,1.0
185,2.2383,0.0,0.652307953667,0.603005393089,0.683741969988,1.0
186,2.2436,0.0,0.652307953657,0.603005393092,0.683741970003,1.0
187,2.249,0.0,0.648833752789,0.603005393092,0.665886838314,1.0
188,2.2544,0.0,0.64536647512,0.596783554854,0.665886838329,1.0
189,2.2598,0.0,0.645366475144,0.596783554855,0.665886838312,1.0
190,2.2652,0.0,0.641906182233,0.59058103076,0.66588683831,1.0
191,2.2705,0.0,0.641906182252,0.590581030764,0.665886838324,1.0
192,2.2759,0.0,0.638452935292,0.590581030764,0.648134698403,1.0
193,2.2813,0.0,0.638452935279,0.584398112284,0.648134698424,1.0
194,2.2867,0.0,0.63500679506,0.584398112287,0.648134698407,1.0
195,2.2921,0.0,0.631567821988,0.584398112287,0.648134698426,1.0
196,2.2974,0.0,0.631567822006,0.578235089591,0.648134698413,1.0
197,2.3028,0.0,0.628136076259,0.578235089594,0.630491293934,1.0
198,2.3082,0.0,0.628136076279,0.578235089595,0.630491293921,1.0
199,2.3136,0.0,0.624711617577,0.572092251519,0.630491293934,1.0
