,vfr,1.30,1.80,2.20
154,0.9548,2.861340002e-08,5.48564073499e-08,8.19459208536e-08
155,0.9558,2.77987483685e-08,5.32945914582e-08,7.96128398605e-08
156,0.9568,2.6996022544e-08,5.17556392597e-08,7.73139132434e-08
157,0.9578,2.62004413019e-08,5.02303843568e-08,7.50354480007e-08
158,0.9588,2.5408530288e-08,4.87121658605e-08,7.2767493924e-08
159,0.9598,2.46291865848e-08,4.72180408838e-08,7.05355313688e-08
160,0.9608,2.38582469327e-08,4.57400278023e-08,6.83276371762e-08
161,0.9618,2.30939958983e-08,4.42748378567e-08,6.61388985208e-08
162,0.9628,2.23394232508e-08,4.28282029059e-08,6.39778777962e-08
163,0.9638,2.15948209578e-08,4.1400682701e-08,6.18454111761e-08
164,0.9648,2.08624876626e-08,3.99966841013e-08,5.97480817358e-08
165,0.9658,2.01398949743e-08,3.86113597831e-08,5.7678648419e-08
166,0.9668,1.94305565192e-08,3.72514459244e-08,5.56471739096e-08
167,0.9678,1.87329779825e-08,3.59140776896e-08,5.36493786288e-08
168,0.9688,1.80491719602e-08,3.4603113538e-08,5.16910264542e-08
169,0.9698,1.73809798214e-08,3.33220836678e-08,4.97773908865e-08
170,0.9709,1.67284159722e-08,3.20710156937e-08,4.79085131725e-08
171,0.9719,1.60904124705e-08,3.08478622087e-08,4.60813348435e-08
172,0.9729,1.54680654215e-08,2.96547246172e-08,4.4298995036e-08
173,0.9739,1.48619511071e-08,2.8492707741e-08,4.25631441615e-08
174,0.9749,1.42741308302e-08,2.73657634262e-08,4.08796855759e-08
175,0.9759,1.37038962249e-08,2.62725336206e-08,3.92465906017e-08
176,0.9769,1.31535721824e-08,2.5217475506e-08,3.76705174908e-08
177,0.9779,1.26232831614e-08,2.42008276952e-08,3.61518226865e-08
178,0.9789,1.21134043007e-08,2.3223309382e-08,3.46915805353e-08
179,0.9799,1.16294387405e-08,2.2295470966e-08,3.33055514974e-08
180,0.9809,1.11697648239e-08,2.14142034561e-08,3.19890912884e-08
181,0.9819,1.07347274875e-08,2.05801681718e-08,3.07431878006e-08
182,0.9829,1.03288133028e-08,1.98019665668e-08,2.95806901014e-08
183,0.9839,9.94860132902e-09,1.90730401586e-08,2.84918009694e-08
184,0.9849,9.60146971271e-09,1.84075340231e-08,2.74976506851e-08
185,0.9859,9.28634592991e-09,1.78033919603e-08,2.65951676359e-08
186,0.9869,9.00561239416e-09,1.72651814331e-08,2.57911748279e-08
187,0.9879,8.76130092075e-09,1.67967977466e-08,2.50914911545e-08
188,0.9889,8.55300621248e-09,1.63974638962e-08,2.4494955913e-08
189,0.9899,8.39086738877e-09,1.60866181593e-08,2.40306065158e-08
190,0.991,8.27203244534e-09,1.58587928044e-08,2.36902751013e-08
191,0.992,8.20339412989e-09,1.57272023117e-08,2.34937018214e-08
192,0.993,8.18619923389e-09,1.56942369831e-08,2.34444573584e-08
193,0.994,8.22913383466e-09,1.5776549399e-08,2.35674177757e-08
194,0.995,8.33418108752e-09,1.59779415754e-08,2.38682626287e-08
195,0.996,8.51004280171e-09,1.63150962615e-08,2.43719130165e-08
196,0.997,8.77022437091e-09,1.6813905422e-08,2.51170470529e-08
197,0.998,9.1310535713e-09,1.75056719944e-08,2.6150425862e-08
198,0.999,9.61477912463e-09,1.84330502915e-08,2.75357675625e-08
199,1.0,,,
