,a,0.00,0.05,0.10,0.30,0.60
138,1.9853,0.0,1.08000991161e-07,1.19045343768e-07,1.79195785283e-07,1.56273317297e-07
139,1.9907,0.0,1.06678474355e-07,1.17974573198e-07,1.8017108716e-07,1.5712385996e-07
140,1.9961,0.0,1.06302226964e-07,1.16895767838e-07,1.81149035951e-07,1.57976710936e-07
141,2.0015,0.0,1.05920662941e-07,1.17528548161e-07,1.8212963163e-07,1.58831870226e-07
142,2.0068,0.0,1.05525956994e-07,1.16425718858e-07,1.83099188183e-07,1.59677402484e-07
143,2.0122,0.0,1.05133998093e-07,1.15324239935e-07,1.840850409e-07,1.60537146337e-07
144,2.0176,0.0,1.04736912156e-07,1.14215596624e-07,1.85073540528e-07,1.61399198502e-07
145,2.023,0.0,1.04334763788e-07,1.14827269454e-07,1.86064687041e-07,1.6226355898e-07
146,2.0284,0.0,1.03927618318e-07,1.13704165308e-07,1.87058480473e-07,1.63130227769e-07
147,2.0338,0.0,1.03515541741e-07,1.12574494381e-07,1.88054920782e-07,1.6399920487e-07
148,2.0391,0.0,1.03091017087e-07,1.13164249297e-07,1.89040101725e-07,1.6485836288e-07
149,2.0445,0.0,1.02669329939e-07,1.12020814323e-07,1.74174854897e-07,1.65731924545e-07
150,2.0499,0.0,1.02242913724e-07,1.10871423353e-07,1.6979664048e-07,1.6660779452e-07
151,2.0553,0.0,1.01811837022e-07,1.1145581942e-07,1.65382441319e-07,1.67485972805e-07
152,2.0607,0.0,1.01376169015e-07,1.10293169125e-07,1.60937260772e-07,1.68366459404e-07
153,2.066,0.0,1.00928651569e-07,1.10863419849e-07,1.56454800923e-07,1.69236966913e-07
154,2.0714,0.0,1.0145648597e-07,1.09687922512e-07,1.57273024477e-07,1.70122038073e-07
155,2.0768,0.0,1.01008200852e-07,1.10260069888e-07,1.52755904931e-07,1.71009417544e-07
156,2.0822,0.0,1.00555531923e-07,1.09071931916e-07,1.53550627876e-07,1.71899105325e-07
157,2.0876,0.0,1.00098550995e-07,1.07879110015e-07,1.54347412768e-07,1.72791101417e-07
158,2.093,0.0,9.96373304067e-08,1.08437453775e-07,1.4995973456e-07,1.73685405822e-07
159,2.0983,0.0,9.91648539768e-08,1.07224975241e-07,1.5072309425e-07,1.74569539072e-07
160,2.1037,0.0,9.96754714211e-08,1.07777095728e-07,1.46301856252e-07,1.75468428038e-07
161,2.1091,0.0,9.9202319934e-08,1.06560725384e-07,1.47053255762e-07,1.76369625309e-07
162,2.1145,0.0,9.87251472107e-08,1.07106614644e-07,1.47806579913e-07,1.77273130896e-07
163,2.1199,0.0,9.8244027855e-08,1.05878914908e-07,1.43332054315e-07,1.78178944789e-07
164,2.1252,0.0,9.77521373351e-08,1.06411036226e-07,1.44052405668e-07,1.79074427526e-07
165,2.1306,0.0,9.82491008479e-08,1.05172452468e-07,1.39555018053e-07,1.79984825978e-07
166,2.136,0.0,9.77566271888e-08,1.05705784574e-07,1.40262704816e-07,1.80897532744e-07
167,2.1414,0.0,9.72604332958e-08,1.04456554875e-07,1.40972181364e-07,1.81812547818e-07
168,2.1468,0.0,9.77511548444e-08,1.04983584066e-07,1.36432466262e-07,1.82729871201e-07
169,2.1521,0.0,9.72407892149e-08,1.0371682868e-07,1.37109539073e-07,1.83636703423e-07
170,2.1575,0.0,9.67336876863e-08,1.04237516798e-07,1.37797867951e-07,1.84558611363e-07
171,2.1629,0.0,9.6223097975e-08,1.02968154136e-07,1.33221841023e-07,1.85482827613e-07
172,2.1683,0.0,9.6703752347e-08,1.0348250152e-07,1.33887311712e-07,1.86409352173e-07
173,2.1737,0.0,9.6185993763e-08,1.02203555091e-07,1.34554440348e-07,1.87338185043e-07
174,2.1791,0.0,9.56649053023e-08,1.02711545622e-07,1.35223226902e-07,1.8826932622e-07
175,2.1844,0.0,9.61326160715e-08,1.03213707847e-07,1.30582875524e-07,1.89189784169e-07
176,2.1898,0.0,9.56045628679e-08,1.01918016761e-07,1.31228734076e-07,1.90125509904e-07
177,2.1952,0.0,9.50733407038e-08,1.02420856476e-07,1.31876185893e-07,1.91063543945e-07
178,2.2006,0.0,9.55412560381e-08,1.01116321868e-07,1.32525230941e-07,1.92003886294e-07
179,2.206,0.0,9.50031728005e-08,1.01612756909e-07,1.27844889434e-07,1.92946536952e-07
180,2.2113,0.0,9.44556767188e-08,1.00292948739e-07,1.28462298329e-07,1.93878344385e-07
181,2.2167,0.0,9.49171610551e-08,1.0078295243e-07,1.29089929553e-07,1.94825579599e-07
182,2.2221,0.0,9.43694239013e-08,1.01274150211e-07,1.29719090267e-07,1.95775123119e-07
183,2.2275,0.0,9.48282451531e-08,9.99455411261e-08,1.24996027506e-07,1.96726974948e-07
